nome_cliente,idade_cliente,email_cliente
"Abbot Lindsay",43,feugiat.non@nibhQuisque.net
"Adilson Cardeal",27,adilson.c@itau.com.br
"Adria G. Mcfadden",69,Fusce.fermentum@vulputatelacus.co.uk
"Adrian Blackburn",92,Phasellus.dapibus@blandit.edu
"Adrienne Manning",78,sit@quis.org
"Ainsley S. Noble",77,aliquet.lobortis.nisi@Aeneaneuismodmauris.edu
"Alyssa W. Cabrera",26,nec.urna.suscipit@vitaemaurissit.ca
"Amaya Y. Campos",82,turpis.nec.mauris@aauctor.com
"Amos Park",63,dolor.Quisque.tincidunt@aliquet.edu
"Ana Santos",20,ana.s@itau.com.br
"Angela R. Good",36,sem@risusMorbi.com
"Anthony Flowers",85,eleifend.egestas@dictum.org
"Aristotle Cameron",27,metus.urna.convallis@consectetuereuismodest.ca
"Aubrey Q. Wilcox",34,Mauris@egestas.com
"Berk L. Case",78,vitae.dolor@malesuadafringillaest.net
"Berk William",100,a@luctus.co.uk
"Blair D. Leblanc",71,vestibulum@justoProinnon.net
"Brennan Palmer",31,augue.id@urnaNullamlobortis.edu
"Cadman N. Glass",82,Class.aptent@laoreet.ca
"Camden Spence",52,quis.diam.luctus@vestibulumMauris.co.uk
"Cameran Craig",27,nulla.at@massa.edu
"Caryn Blankenship",37,sit.amet.lorem@tempordiam.org
"Castor S. Jefferson",82,quis@ipsumprimisin.ca
"Christian Colon",36,tortor@CrasinterdumNunc.net
"Clarke W. Floyd",22,ultricies.adipiscing.enim@tempor.net
"Conan B. Frost",48,orci.Donec@accumsansed.edu
"Connor Frye",83,sociis.natoque@enimSednulla.ca
"Courtney Poole",79,Integer@commodo.edu
"Dolan Ramos",65,dui@enimCurabitur.co.uk
"Dorothy Watson",52,augue.ut@disparturientmontes.co.uk
"Dustin Odom",40,Vivamus.non.lorem@vitaesodales.org
"Emerson W. Stafford",25,urna.justo@velfaucibusid.ca
"Emily Bradley",69,vestibulum.massa.rutrum@egestasFusce.com
"Evan Daniels",19,Sed@dolornonummy.ca
"Florence Z. Sellers",51,eros.nec.tellus@enimgravida.net
"Gannon Cole",92,Fusce.diam.nunc@fermentumvel.org
"Gareth I. Maddox",38,Suspendisse.sed.dolor@eratsemper.com
"Gillian King",56,dui@ante.org
"Grady J. Duke",50,et.rutrum.eu@nequeIn.net
"Gretchen Mcintosh",47,odio.Aliquam@mifelisadipiscing.net
"Gretchen W. Knowles",82,mi.Duis.risus@ornareplaceratorci.org
"Haley Burgess",72,vulputate.risus@semmagna.net
"Hayfa Stephenson",56,Sed@nullaInteger.ca
"Hayley K. Blackwell",20,mus.Proin.vel@aliquet.co.uk
"Hector I. Wade",96,luctus@pulvinararcu.co.uk
"Hedy Z. Morales",88,sed.facilisis.vitae@convallisincursus.org
"Helen J. Bennett",33,pede.et@id.org
"Helen Newman",55,nunc.risus.varius@sagittissemper.com
"Hyacinth N. Daniels",18,sagittis.lobortis.mauris@posuere.com
"Hyatt C. Moran",69,sem.Nulla.interdum@ipsumnonarcu.ca
"Ignatius Cline",54,elit@velit.co.uk
"Ila I. Yang",66,enim.gravida@sodales.org
